,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,
#,MarriedTaxAllowance,Married Tax Allowance,marriedtax,"This is a tax break for married couples, given as an encouragement for people to marry and also to stick together. Church groups see it as essential that the state encourages traditional family values. Some see it as religion meddling in the tax system for no good reason.",,21,21,12,8,TAX,100,5200,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"Religious,0.1+(0.2*x)","Conservatives,0.07+(0.10*x)","Parents,0.02+(0.03*x)","_global_liberalism,-0.04-(0.04*x),12",,,,,,,
#,MaternityLeave,Maternity Leave,maternityleave,"To some people, ensuring that mothers have a right to maternity leave and to return to their jobs afterwards is a sign of a civilized society, and one that encourages women to work. Some small businesses are concerned that it can put an unpredictable and even potentially crippling burden on an employer, especially where the number of employees is small. It could be argued that this actually encourages employers not to employ women.",,13,18,7,7,ECONOMY,0,0,,1,0,0,,#Effects,"Parents,0.07+(0.15*x)","WorkerProductivity,-0.05-(0.07*x)","Parents_income,0+(0.1*x)","Parents_freq,0.025+(0.04*x),4","TradeUnionist,0.06+(0.05*x)",,,,,,
#,MicrogenerationGrants,Micro-Generation Grants,default,"These grants are given to citizens to help subsidize the cost of energy micro-generation systems such as solar panels and wind turbines. This is a good way to take advantage of some people's desire to make a personal step towards cleaner and greener energy, and will increase the country's overall energy efficiency.",,10,10,3,7,TAX,100,1100,"GDP,0.25+(0.75*x)",2,0,0,,#Effects,"Environmentalist,0.03+(0.06*x)","EnergyEfficiency,0.01+(0.11*x),4","Environmentalist_income,0.02+(0.05*x)","Environmentalist_freq,0.02+(0.06*x)","CO2Emissions,-0.02-(0.05*x),8","Environment,0.02+(0.04*x),8",,,,,
#,MilitarySpending,Military Spending,militaryspending,"A modern, well equipped military can cost an absolute fortune, and many people feel that the money could best be spent elsewhere. Others (especially patriots) would argue that you cannot put a price on freedom and security, and also point out the huge benefits for our businesses, technology and employment figures.",UNCANCELLABLE,0,0,9,19,FOREIGNPOLICY,1000,10030,"_default_,1.0;Wages,-0.1+(0.2*x)",8,0,0,,#Effects,"Patriot,-0.35+(0.62*x)","Unemployment,0.00-(0.23*x)","StateEmployees,0.00+(0.23*x)","_Terrorism,0-(0.2*x),4","StateEmployees_freq,-0.05+(0.16*x)","StateEmployees_income,-0.3+(0.09*x)","Liberal,-0.10*(x^4)",,,,
#,Monorail,National Monorail System,default,"Monorails are often seen as the transport system of the future. They are promoted as being fast, reliable and environmentally beneficial. The main problem however is the high cost. The construction time is also a major consideration so investment in a national network would take a long time to give an eventually good payoff.",,14,14,8,8,TRANSPORT,2100,2320,,16,0,0,,#Effects,"CarUsage,-0.06-(0.10*x),2","Commuter,0.12+(0.15*x)","Unemployment,0-(0.05*x)",,,,,,,,
#,MortgageTaxRelief,Mortgage Tax Relief,default,"This allows people to claim tax relief on the interest payments they have to make when they borrow money to buy a house. This helps homebuyers to afford their mortgage payments, but can be resented by those who are not in a position to buy a house, as it is effectively a tax break for homebuyers.",,31,44,18,22,TAX,200,920,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"MiddleIncome,0.1+(0.18*x)","Socialist,-0.06-(0.07*x)","Poor,-0.07-(0.06*x)","_MiddleIncome,0+(0.09*x)",,,,,,,
#,Narcotics,Narcotics,narcotics,"Should drugs such as cannabis and heroin be legalized? Supporters suggest that it is the crime associated with the buying black-market drugs that cause problems, and legalizing narcotics would reduce crime. Opponents point to the health risks and say it would be giving into criminals.",UNCANCELLABLE,37,37,27,20,LAWANDORDER,0,0,,5,0,0,,#Effects,"Liberal,-0.05+(0.2*x)","Parents,0.00-(0.15*x)","CrimeRate,0.00+(0.20*x)","Conservatives,0.05-(0.2*x)","LegalDrugConsumption,0.8*(GDP+0.2)*x",,,,,,
#,NationalService,National Service,nationalservice,"Compulsory military service for some citizens where they are taught the basics of how to defend this country from attack has some benefits. For example it would allow us to have a smaller regular army. However, there are concerns about forcing people to bear arms against their will.",,50,45,26,16,FOREIGNPOLICY,100,1000,,1,0,0,,#Effects,"Liberal,-0.10-(0.02*x)","Patriot,0.15+(0.03*x)","Conservatives,0.20+(0.24*x)","Young,-0.20-(0.02*x)","Patriot_freq,0.10+(0.06*x)",,,,,,
#,OrganDonation,Organ Donation,organdonation,"There are few who would disagree that organ transplant is an amazing technology but it requires a plentiful supply of donors. Sadly many people do not give the topic consideration. Some suggest that an 'opt-out' policy is best, with consent for donation assumed unless otherwise stated. Others suggest that this is no place for the state to interfere and explicit permission should be requested.",,13,13,9,7,PUBLICSERVICES,8,10,,1,0,0,,#Effects,"Health,0.05+(0.06*x)","Religious,-0.08-(0.025*x)",,,,,,,,,
#,OrganicSubsidy,Organic Farming Subsidy,default,"Supporters of organic farming say the state should subsidize this method of farming because of the perceived health benefits of food without artificial flavorings and additives. Naturally this is popular with farmers and environmentalists, but some people see it as a pointless distortion of what should be a free market.",,15,18,9,9,ECONOMY,190,800,,1,0,0,,#Effects,"Environmentalist,0.11+(0.09*x)","Farmers,0.10+(0.18*x)","Capitalist,-0.05-(0.02*x)","Health,0.02+(0.06*x),8","Farmers_income,0+(0.10*x)","Environmentalist_income,0+(0.05*x)","Farmers_freq,0.05+(0.09*x)",,,,
#,PetrolTax,Petrol Tax,tax,"Taxing fuel can be a huge source of income for a government, and can also be seen as a 'green' policy by encouraging people to drive less, or to use more fuel efficient cars. Critics suggest that this is just another cynical tax on the motorist, and some complain that the alternative (public transport) is not a viable option for everyone.",,49,28,36,10,TAX,0,0,,1,1150,21045,"CarUsage,0+(1.0*x)",#Effects,"CarUsage,0.00-(0.40*x),4","Motorist,0.00-(x^5)","Environmentalist,0.00+(0.20*x)","GDP,-0.13*(x^7),2","Motorist_income,0-(0.15*x)","Motorist_freq,0-(0.16*x)",,,,,
#,PhoneTapping,Wire Tapping,phonetapping,"From a law and order perspective, wire tapping is an essential weapon in the fight against organized crime and terrorism. The problem is that it's difficult to prevent misuse of such a system, and liberals are keen to point out how widespread wire tapping is a very sinister sign of a police state.",,26,16,19,8,LAWANDORDER,10,40,,3,0,0,,#Effects,"Liberal,-0.1-(0.25*x)","CrimeRate,-0.05-(0.15*x)","_Terrorism,-0.05-(0.15*x)","_security_,(0.075+0.1*x)",,,,,,,
#,PlasticBagTax,Plastic Bag Tax,default,"Plastic bags, unlike paper ones are not biodegradable so can last more or less forever, eventually ending up in huge unsightly landfill sites. A tax on bags discourages their use and encourages people to re-use stronger, more environmentally friendly alternatives. Capitalists just see this as the state meddling.",,4,1,1,0,TAX,6,7,,1,5.75,70.15,,#Effects,"Environmentalist,0.02+(0.03*x)","Capitalist,-0.02-(0.02*x)",,,,,,,,,
#,PoliceForce,Police Force,default,"Every government needs to employ a police force to ensure order is kept and laws are obeyed, but it's a matter of debate exactly how much should be spent on the police. Some favor a large force with police on every street corner, other prefer a more low-key and tolerant approach.",UNCANCELLABLE,25,37,4,18,LAWANDORDER,300,2320,"_default_,1.0;Wages,-0.1+(0.2*x)",6,0,0,,#Effects,"CrimeRate,-0.35*(x^0.6),4","ViolentCrimeRate,-0.52*(x^0.6),3","Conservatives,-0.2+(0.48*x)","StateEmployees,-0.15+(0.37*x)","StateEmployees_freq,-0.05+(0.1*x)","StateEmployees_income,-0.3+(0.09*x)","Unemployment,0-(0.03*x)",,,,
#,PollutionControls,Pollution Controls,pollutioncontrols,"Restrictions on what chemicals and emissions can be released into the atmosphere. Controls reduce pollution and increase health, possibly at the cost of economic competitiveness.",,6,6,3,3,ECONOMY,10,24,,4,0,0,,#Effects,"Environmentalist,0.05+(0.06*x)","Capitalist,-0.02-(0.08*x)","Environment,0.1+(0.2*x),12","GDP,0-(0.05*x),4","CO2Emissions,-0.05-(0.14*x),12",,,,,,
#,PrisonerTagging,Prisoner Tagging,default,"A high tech alternative to incarceration that allows people to re-integrate with the community upon release from prison, whilst allowing law enforcement authorities to keep a close eye on them. Liberals have concerns that such a system is a step towards a police state which monitors our every move.",,14,14,7,4,LAWANDORDER,16,32,,1,0,0,,#Effects,"Liberal,-0.10-(0.12*x)","CrimeRate,-0.05-(0.08*x)","ViolentCrimeRate,-0.05-(0.09*x)", ,,,,,,,
#,Prisons,Prisons,prisons,"Some argue that providing the minimum number of bare, cold cells is the only provision that needs to be made for those who have broken the law. Others suggest that spending more money allows for prisoners to be rehabilitated as well as punished and reduces the chances of reoffending.",UNCANCELLABLE,13,20,7,8,LAWANDORDER,100,1920,"CrimeRate,0.1+(0.9*x)",6,0,0,,#Effects,"CrimeRate,0.00-(0.07*x),8","Liberal,0.12*(x^4)","Conservatives,0.00+(0.12*x)","StateEmployees,0+(0.15*x)","StateEmployees_freq,-0.05+(0.1*x)","Unemployment,0-(0.02*x)",,,,,
#,PropertyTax,Property Tax,tax,"Property tax is a tax levied on the value of homes. The valuation is often made by a government body, and the money is used to fund local government services (at least in part) such as the provision of street lighting and emergency services. Some see it as a fair tax which mostly affects those who own large homes and are wealthy, others see it as an unfair tax on retired people with large homes but little actual income.",,37,33,19,10,TAX,0,0,,2,1150,12650,"GDP,0.5+(0.5*x)",#Effects,"_MiddleIncome,0-(0.1*x)","_HighIncome,0-(0.14*x)","Socialist,0+(0.12*x)","Capitalist,0-(0.15*x)","Equality,0+(0.15*x)","MiddleIncome,0-(0.32*x)","Wealthy,0-(x^11)","Retired,0-(0.28*x)", ,,
#,PublicLibraries,Public Libraries,default,"Public libraries provide a number of services, acting as a focus for communities, providing access to information and literature to those on low incomes, and enabling people to learn new skills outside the normal educational establishment.",,10,21,6,9,PUBLICSERVICES,50,800,,4,0,0,,#Effects,"Education,0.02+(0.05*x),4","Equality,0.02+(0.02*x),4","Retired,0.03+(0.03*x)",,,,,,,,
#,RacialProfiling,Racial Profiling,default,"Racial (or ethnic) profiling is the practice of using race as a factor in identifying criminals and potential criminals. Law enforcement officials claim that using racial profiling allows them to quickly narrow down lists of potential suspects, and to best concentrate their efforts but opponents fear that it leads to racial discrimination by the police.",,32,16,18,8,LAWANDORDER,0,0,,1,0,0,,#Effects,"CrimeRate,0-(0.09*x)","ViolentCrimeRate,0-(0.09*x)","Liberal,-0.06-(0.06*x)","RacialTension,0.2+(0.1*x)","_Terrorism,-0.04-(-0.05*x)",,,,,,
#,RaceDiscriminationAct,Race Discrimination Act,default,"Prevents citizens being discriminated against purely on the basis of race, i.e. racist employment practices etc.",,2,26,1,10,LAWANDORDER,5,9,,1,0,0,,#Effects,"RacialTension,0-(0.14*x)","Liberal,0.1+(0.03*x)","EthnicMinorities,0.2+(0.1*x)","Conservatives,-0.05*(x^4)","_global_liberalism,0+(0.12*x),8",,,,,,
#,RailSubsidies,Rail Subsidies,default,"Travelling by rail is not only more environmentally sound than car travel, its much more efficient in terms of transport times and congestion. Of course that requires adequate investment over the very long term, and in the meantime, motorists take offence at subsidizing a system they do not use. It can take several years for the effects of rail investment to take effect.",,18,18,10,9,TRANSPORT,500,4800,,24,0,0,,#Effects,"Commuter,0.10+(0.25*x)","Motorist,0.00-(0.20*x)","RailUsage,0.00+(0.35*x),8","_LowIncome,0+(0.06*x)","_MiddleIncome,0+(0.02*x)","Commuter_income,0+(0.1*x)","Commuter_freq,0+(0.12*x),4","Unemployment,0-(0.09*x)",,,
#,Recycling,Recycling,recycling,"Supporters of recycling argue that dumping waste in landfills just isn't a long term solution, and the government needs to show the way by providing facilities to recycle as many waste materials as possible. This might include recycling newspapers, cardboard, bottles and even some plastics.",,13,18,4,4,ECONOMY,40,400,,5,0,0,,#Effects,"Environmentalist,0.04+(0.09*x)","Environment,0.01+(0.04*x)","Environmentalist_freq,0.02+(0.08*x),12",,,,,,,,
#,RoadBuilding,Road Building,roadbuilding,"Although environmentalists often argue that more roads just lead to more congestion, not surprisingly this isn't how the motorist who is sat in traffic sees it. Building new roads is a very expensive and very slow process, but some suggest its vital to keep our economy functioning.",UNCANCELLABLE,30,30,18,18,TRANSPORT,100,5100,,16,0,0, ,#Effects,"Motorist,-0.25+(0.55*x),4","Environmentalist,0.16-(0.40*x)","CarUsage,0.20+(0.29*x),4","TrafficCongestion,0-(0.3*x)","Unemployment,0-(0.05*x)", ,,,,,
#,RuralDevelopmentGrants,Rural Development Grants,default,"As technology advances and more and more citizens take jobs in our cities, there is a danger that poverty and unemployment will rise to unacceptable levels in the countryside. Rural development grants do distort the free market, but they also support rural businesses and prevent poverty amongst farmers and other rural occupations.",,27,27,18,15,ECONOMY,100,400,,6,0,0,,#Effects,"_LowIncome,0.02+(0.13*x)","Unemployment,0.00-(0.15*x)","Equality,0.00+(0.14*x)","Farmers,0.10+(0.30*x)","GDP,0.00+(0.06*x),4","Farmers_freq,0.02+(0.06*x),8",,,,,
#,SalesTax,Sales Tax,salestax,"Sales tax is the classic 'regressive' tax, which means it does not take into account the ability to pay. Critics argue that this affects the poor disproportionately and thus increases inequality. Supporters argue that it is relatively easy to collect and affects everyone, and is thus fair. Businesses can be opposed to the administrative burden of the tax.",MULTIPLYINCOME,37,21,26,9,TAX,0,0,,1,575,61732,"GDP,0.2+(0.8*x);TaxEvasion,1.0-(0.2*x)",#Effects,"PovertyRate,0.00+(0.20*x)","SelfEmployed,0.00-(0.21*x)","Capitalist,0.00-(0.15*x)","Equality,-0.02-(0.32*x)","_LowIncome,0-(0.12*x)","_MiddleIncome,0-(0.06*x)",,,,,
#,SateliteRoadPricing,Satellite Road Pricing,default,An expensive system that requires transponders to be fitted to everyone's car and keeps track of what roads people use (and when). Allows per-road pricing for car usage which gives local authorities fine control over reducing congestion without burdening motorists in more remote rural areas who have no alternative transport system.,,52,21,26,14,TRANSPORT,2500,2000,,16,0,7015,"CarUsage,0+(1.0*x)",#Effects,"CarUsage,-0.25*(x^4),4","Motorist,-0.08-(0.06*x)","Environmentalist,0.06+(0.1*x)","Motorist_income,-0.04-(0.1*x)","Capitalist,0.05+(0.02*x)",,,,,,
#,SchoolBuses,Subsidized School Buses,default,"State subsidies for school buses ensure that every school kid has an efficient, and safe journey to school, whilst reducing the number of short 'school-run' trips carried out by parents, thus reducing traffic on the roads. Parents are also happier knowing that there are proper approved school buses.",,14,21,7,10,TRANSPORT,250,520,,2,0,0,,#Effects,"Parents,0.07+(0.07*x)","BusUsage,0.05+(0.15*x),2",,,,,,,,,
#,SchoolPrayers,School Prayers,schoolprayers,"Liberals will often argue that the education of our younger citizens should be kept entirely separate from any religious teachings. On the other hand, it's argued that some compulsory prayer in schools is a way of promoting moral values in our children.",,49,39,19,14,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Religious,0.05+(0.15*x)","Liberal,-0.05-(0.05*x)","Religious_freq,0.04+(0.25*x),32","RacialTension,0.1+(0.11*x),2",,,,,,,
#,ScienceFunding,Science Funding,sciencefunding,"In some countries, the majority of research is funded by private companies. State-sponsored science can be useful for investing in very long-term research projects or those that may not be commercially rewarding. The benefits of state sector research are freely available to the entire population, rather than patented by corporations.",UNCANCELLABLE,10,20,6,8,PUBLICSERVICES,85,4000,,4,0,0,,#Effects,"Technology,-0.10+(0.21*x),8","EnergyEfficiency,-0.1+(0.2*x),12","GDP,0+(0.08*x),20","StateEmployees,-0.15+(0.3*x)","StateEmployees_freq,-0.05+(0.1*x)","Unemployment,0-(0.03*x)",,,,,
#,SmallBusinessGrants,Small Business Grants,default,"The failure rate for small businesses is very high. In the early years of trading, a preferential government grant can be an enormous help to get a new enterprise off the ground. This can lead to a big boost to the economy, but it can also be an expensive policy with no guarantee of good results.",,10,14,4,7,ECONOMY,100,5000,"GDP,0.25+(0.75*x)",2,0,0,,#Effects,"SelfEmployed,0.10+(0.25*x)","GDP,0.01+(0.05*x),8","Capitalist,0+(0.09*x)","_global_socialism,-0.04-(0.1*x),12","SelfEmployed_freq,0.02+(0.06*x),4","SelfEmployed_income,0.01+(0.15*x)","TradeUnionist_freq,-0.02-(0.04*x),4","Capitalist_income,0+(0.05*x),4",,,
#,SpaceProgram,Space Program,spaceprogram,"Invest in your country's efforts to explore space! As well as the purely scientific benefits, a well-funded space program will boost the level of technological expertise throughout the entire economy. It will also unite the country and encourage patriotism.",,24,26,18,10,ECONOMY,1000,3900,,16,0,0,,#Effects,"Patriot,0.05+(0.15*x)","Patriot_freq,0.05+(0.15*x)","Unemployment,-0.02-(0.05*x)","StateEmployees,0.035+(0.075*x)","Technology,0+(0.12*x),16","Religious_freq,-0.02-(0.06*x),20",,,,,
#,SpeedCameras,Speed Cameras,speedcameras,"Speed cameras are an automated way to enforce speed restrictions on our roads, without having to invest a fortune in extra traffic police. Supporters claim they reduce road deaths and free up the police to deal with more serious crime, opponents claim they are a cynical way of taxing the motorist and have nothing to do with safety",,39,14,14,7,LAWANDORDER,1,8,,5,11.5,210.45,,#Effects,"Motorist_income,0.00-(0.15*x)","Parents,0.01+(0.03*x)","Health,0.01+(0.015*x),4","Motorist,-0.02-(0.08*x)",,,,,,,
#,StateHealthService,State Health Service,healthservice,"Although many citizens would be happy to pay privately for their own health treatment, there is an argument that the state has a duty to provide a minimum level of free health treatment for everyone regardless of income. Health provision can be expensive, so it's a matter of debate as to how much should be spent.",,38,60,18,26,PUBLICSERVICES,3000,12000,"_default_,0.6;TobaccoUse,0+(0.1*x);Environment,0.2-(0.1*x);Alcoholism,0.1+(0.1*x);Wages,-0.1+(0.2*x)",12,0,0,,#Effects,"Poor,0.05+(0.15*x)","Capitalist,-0.02-(0.10*x)","Wealthy,0.00-(0.10*x)","Socialist,0.05+(0.11*x)","Health,0.25*(x^0.6)+0.05,4","Retired,0.00+(0.16*x)","Unemployment,0-(0.19*x)","StateEmployees,0.00+(0.22*x)","StateEmployees_freq,0+(0.1*x)","StateEmployees_income,0+(0.09*x)","_global_socialism,0+(0.052*x),4"
#,StateHousing,State Housing,default,"Some citizens prefer to own their own homes, but the cost of housing is such that a large proportion of the population live in rented accommodation. State housing is provided, at a reduced rate, to those who cannot afford to pay the market rate. This can be expensive to fund, but the social benefits are also significant.",,13,18,8,8,WELFARE,1000,8400,,16,0,0,,#Effects,"Capitalist,-0.02-(0.1*x)","Poor,0.05+(0.05*x)","Equality,0.03+(0.21*x)","Socialist,0+(0.20*x)","PovertyRate,0-(0.17*x)","_LowIncome,0+(0.17*x)","_global_socialism,0.015+(0.02*x),12",,,,
#,StatePensions,State Pensions,default,"Rather than leave it up to the individual to provide for themselves after retirement, state pensions can guarantee a minimum standard of living for the elderly. Be aware that as life expectancy rises, the cost to the state of paying out pensions increases hugely. The level of state pension may encourage or discourage citizens to save into private pension plans.",,19,49,9,26,WELFARE,2500,14000,"_default_,1.0;Health,0.2*(x^6)",2,0,0,,#Effects,"Capitalist,-0.02-(0.1*x)","Retired,0.2+(0.55*x)","Poor,0.07+(0.12*x)","PovertyRate,0-(0.2*x)","Retired_income,0.1+(0.2*x)","_global_socialism,0.02+(0.02*x),12","Retired_freq,0+(0.09*x),8",,,,
#,StateSchools,State Schools,stateschools,"Free education for all ensures high levels of literacy and can be beneficial to the economy, especially those parts of the economy requiring a skilled workforce. The flipside of this is that state education can be expensive for the government. Wealthy individuals, not making use of state schools, may resent subsidizing them.",,30,42,18,21,PUBLICSERVICES,1000,10200,"_default_,1.0;Wages,-0.1+(0.2*x)",12,0,0,,#Effects,"Poor,0.04+(0.11*x)","Socialist,0.00+(0.20*x)","Education,0.3*(x^0.6)+ 0.07,8","PovertyRate,-0.08-(0.10*x)","StateEmployees,0.00+(0.14*x)","Unemployment,0-(0.19*x)","StateEmployees_freq,0+(0.1*x)","StateEmployees_income,0+(0.09*x)","_global_socialism,0+(0.03*x),12","Parents_freq,0+(0.025*x),8",
#,StemCells,Stem Cell Research,default,"A stem cell is a primitive type of cell that can be developed into most of the types of cells found in the human body. Some scientists claim that stem cell research offers great hope for curing diseases such as diabetes and multiple sclerosis. However, because stem cells are taken from discarded human embryos, many 'pro-life' and religious groups oppose their usage.",,45,45,21,15,PUBLICSERVICES,20,160,,4,0,0,,#Effects,"GDP,0.03+(0.035*x),22","Religious,-0.17-(0.1*x)","Conservatives,-0.02-(0.04*x)","Health,0.01+(0.02*x),16","Technology,0.02+(0.04*x)",,,,,,
#,TaxShelters,Tax Shelters,default,"By not fully taxing the wealth of the super-rich, tax shelters can be a great way to encourage successful entrepreneurs to make our country their home. With an ever-shrinking world, the rich are free to settle wherever they please. encouraging them to live here may mean that they spend their wealth in this country. Such measures can be very unpopular with the poor, who resent paying tax on their much lower earnings.",,13,18,7,7,ECONOMY,100,400,,1,0,0,,#Effects,"Wealthy,0.20+(0.30*x)","Socialist,-0.20-(0.40*x)","Equality,-0.10-(0.30*x),4","Capitalist,0+(0.14*x)","_HighIncome,0+(0.10*x)","GDP,0+(0.06*x),8","ForeignRelations,-0.08*(x^3)",,,,
#,TechnologyColleges,Technology Colleges,default,"Technology colleges are 'specialist schools' with a focus on computer literacy, biotechnology and similar subjects. These state-run colleges receive special funding from central government in order to encourage a greater level of technological literacy amongst the future workforce.",,10,16,6,7,PUBLICSERVICES,185,670,,4,0,0,,#Effects,"Education,0.025+(0.16*x),8","Technology,0.05+(0.15*x),10","StateEmployees,0.00+(0.05*x)","StateEmployees_freq,0+(0.04*x)","Socialist,-0.02-(0.06*x)","Equality,-0.02-(0.025*x)",,,,,
#,TechnologyGrants,Technology Grants,default,"The government can provide state funding to encourage business to invest in new and exciting technologies. Although this helps give us a competitive advantage and can create jobs, it can be argued that its an unnecessary distortion of the market.",,10,18,6,7,ECONOMY,450,4600,"GDP,0.25+(0.75*x)",2,0,0,,#Effects,"Unemployment,0.00-(0.05*x),6","Technology,0.05+(0.12*x),8","GDP,0.0+(0.02*x),16","WorkerProductivity,0.00+(0.07*x),8","Capitalist,0.03+(0.08*x)","Religious_freq,-0.08-(0.12*x),32",,,,,
#,TelecommutingInitiative,Telecommuting Initiative,default,"Telecommuting, or 'working from home' is seen as desirable because it reduces the pressure on the transport infrastructure, and can be an improvement to people's quality of life. It's also welcomed by parents. This policy offers tax incentives to companies supporting this option.",,2,6,0,3,TRANSPORT,110,500,"GDP,0.4+(0.6*x)",1,0,0,,#Effects,"Commuter,0.05+(0.15*x)","Commuter_freq,-0.05-(0.1*x),4","CarUsage,-0.05-(0.1*x),4","Parents,0.07+(0.07*x)","TradeUnionist,0.05+(0.05*x)",,,,,,
#,TobaccoTax,Tobacco Tax,tax,"Despite the failure of tobacco companies to admit it, there is good reason to believe that smoking has negative effects on health. This is used as a justification for taxing tobacco. Cynics point out that the government benefits hugely from a tax on a product it is supposedly against. Health campaigners encourage the tax as a way to encourage a more healthy population",,39,20,27,10,TAX,0,0,,1,115,8418,"TobaccoUse,0+(1.0*x)",#Effects,"_All_,-0.4*(TobaccoUse*x)","PovertyRate,0.23*(TobaccoUse*x)","Equality,-0.1*(TobaccoUse*x)","TobaccoUse,0-(0.8*x),8",,,,,,,
#,TollRoads,Toll Roads,default,"Toll roads charge motorists to use specific roads (normally major highways). This is a great example of directly applying market forces, by only charging those who use a particular route for the construction and maintenance of that route. Motorists tend to see this as just another form of taxation, whereas commuters appreciate not being charged for roads they seldom use.",,25,13,10,7,TRANSPORT,0,0,,12,11.5,140.3,"CarUsage,0+(1.0*x)",#Effects,"Motorist,0.00-(0.25*x)","Commuter,0.10+(0.05*x)","Capitalist,0.15+(0.11*x)","CarUsage,0.00-(0.05*x)","TrafficCongestion,0-(0.12*x)","Equality,0-(0.02*x)","Motorist_income,-0.04-(0.08*x)",,,,
#,UnemployedBenefit,Unemployed Benefit ,default,Unemployment benefit is a state benefit given to everyone who is able to work but cannot find employment. Socialists regard this as a minimum safety net for workers out of work because of the whims of the economy. Some believe that high unemployment benefits distort the market and discourage people from seeking work.,,25,27,14,12,WELFARE,500,5440,"Unemployment,0+(1.0*x)",1,0,0,,#Effects,"Capitalist,-0.01-(0.08*x)","Unemployment,0+(0.1*x),8","Poor,0.1+(0.3*x)","Socialist,0+(0.15*x)","PovertyRate,0-(0.12*x)","_LowIncome,0+(0.15*x)",,,,,
#,UniversityGrants,University Grants,universitygrants,"Although not all citizens will pursue a university education, governments can provide subsidies to students to encourage a more educated workforce. University grants also ensure equality of opportunity, as in their absence the cost of a university education can be beyond the reach of working class families.",,13,22,7,10,PUBLICSERVICES,200,2600,,2,0,0,,#Effects,"Education,0.00+(0.27*x),16","StateEmployees,0.00+(0.18*x)","_MiddleIncome,0+(0.06*x)","_LowIncome,0+(0.06*x)","Parents,0.02+(0.02*x)","Young,0.04+(0.17*x)","Young_income,0.08+(0.12*x)",,,,
#,WelfareFraudDept,Welfare Fraud Dept.,welfarefraud,"When government gives so much money out in welfare payments, it's essential that the money is correctly targeted and not exploited by people making spurious claims. A dedicated fraud department will detect false claimants, recover lost money and reassure middle income tax payers that their taxes are being spent wisely, although it can antagonize legitimate claimants.",,4,7,3,3,WELFARE,120,155,,3,115,800,"ChildBenefit,0+(0.25*x);DisabilityBenefit,0+(0.25*x);StateHousing,0+(0.25*x);UnemployedBenefit,0+(0.25*x)",#Effects,"Poor,-0.03-(0.06*x)","Conservatives,0.05+(0.07*x)","MiddleIncome,0.03+(0.06*x)",,,,,,,,
#,WinterFuelSubsidy,Winter Fuel Subsidy,default,A special concession given to the elderly. This is a regular welfare payment made to everyone over retirement age towards the cost of their winter fuel bills. It is designed to reduce 'fuel poverty' which can occur when some elderly members of society cannot afford to heat their homes in winter.,,9,30,3,9,WELFARE,500,2000,"Retired_perc,0+(1.0*x)",1,0,0,,#Effects,"Health,0.02+(0.02*x)","Retired,0.2+(0.2*x)","PovertyRate,-0.02-(0.06*x)","Environmentalist,-0.02-(0.03*x)","Retired_freq,0+(0.04*x)","EnergyEfficiency,0-(0.08*x)",,,,,
#,WorkSafetyLaw,Work Safety Law,default,"Work safety law, often known as 'health and safety' is a series of measures to ensure employees are not at risk from injury in their day-to-day activities. Trade unionists often hail such laws as a valuable defense against unscrupulous employers who may put lives at risk. Many business leaders are concerned at the high levels of bureaucracy and restrictive practices that can result from such laws, which they see as a burden on business.",,4,7,1,1,ECONOMY,10,55,,1,0,0,,#Effects,"TradeUnionist,0.04+(0.06*x)","TradeUnionist_freq,0.02+(0.02*x)","SelfEmployed,-0.05-(0.08*x)","SelfEmployed_freq,-0.02-(0.08*x)","WorkerProductivity,-0.01-(0.02*x),4","Health,0.01+(0.02*x)",,,,,
#,YouthClubSubsidies,Youth Club Subsidies,default,"Free youth clubs ensure that teenagers have a 'place to go' which can help them to stay out of trouble, and in the long run, reduce the incidence of street crime. It can be resented by some wealthier taxpayers, who see it as an unnecessary expense, paid for by their taxes.",,9,15,4,7,PUBLICSERVICES,12,220,,2,0,0,,#Effects,"Parents,0.06+(0.05*x)","Socialist,0.04+(0.02*x)","CrimeRate,-0.05-(0.05*x),8","Young,0.03+(0.08*x)","Young_income,0.02+(0.06*x)",,,,,,
#,AbortionLaw,Abortion Law,abortion,"Few areas of policy incite stronger emotions that the debate over abortion. On the 'pro-life' side, are arguments about the rights of the unborn child, and arguments are often made from a  religious standpoint. On the 'pro-choice' side, there is the argument that the State should not have more say over what a woman does with her body than she does. Making any change to the States position on abortion requires a hefty amount of political capital.",UNCANCELLABLE,0,0,26,19,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Religious,0.2-(x^5)","Liberal,0.2+(x-1)^5","Conservatives,0.2-(0.4*x)",,,,,,,,
